         1         3        25        24
         3         4        30        25
         4         5        35        30
         5         6        40        35
         6         7        45        40
         7         2         9        45
        24        25        26        23
        25        30        31        26
        30        35        36        31
        35        40        41        36
        40        45        46        41
        45         9        10        46
        23        26        27        22
        26        31        32        27
        31        36        37        32
        36        41        42        37
        41        46        47        42
        46        10        11        47
        22        27        28        21
        27        32        33        28
        32        37        38        33
        37        42        43        38
        42        47        48        43
        47        11        12        48
        21        28        29        20
        28        33        34        29
        33        38        39        34
        38        43        44        39
        43        48        49        44
        48        12        13        49
        20        29        19        14
        29        34        18        19
        34        39        17        18
        39        44        16        17
        44        49        15        16
        49        13         8        15
