  68510              2                0.00050    
  68526              2                0.00100    
  68527              2                0.00100    
  68528              2                0.00100    
  68529              2                0.00100    
  68530              2                0.00100    
  68531              2                0.00100    
  68532              2                0.00100    
  68533              2                0.00100    
  68534              2                0.00100    
  68535              2                0.00100    
  68536              2                0.00100    
  68537              2                0.00100    
  68538              2                0.00100    
  68539              2                0.00100    
  68540              2                0.00100    
  68700              2                0.00100    
  68701              2                0.00100    
  68702              2                0.00100    
  68703              2                0.00100    
  68704              2                0.00100    
  68705              2                0.00100    
  68706              2                0.00100    
  68707              2                0.00100    
  68708              2                0.00100    
  68709              2                0.00100    
  68710              2                0.00100    
  68711              2                0.00100    
  68712              2                0.00100    
  68713              2                0.00100    
  68714              2                0.00100    
  68715              2                0.00100    
  68909              2                0.00100    
  68910              2                0.00100    
  68911              2                0.00100    
  68912              2                0.00100    
  68913              2                0.00100    
  68914              2                0.00100    
  68915              2                0.00100    
  68916              2                0.00100    
  68917              2                0.00100    
  68918              2                0.00100    
  68919              2                0.00100    
  68920              2                0.00100    
  68921              2                0.00100    
  68922              2                0.00100    
  68923              2                0.00100    
  68924              2                0.00100    
  68925              2                0.00100    
  68926              2                0.00100    
  68927              2                0.00100    
 136035              2                0.00100    
 136036              2                0.00100    
 136037              2                0.00100    
 136038              2                0.00100    
 136039              2                0.00100    
 136040              2                0.00100    
 136041              2                0.00100    
 136042              2                0.00100    
 136043              2                0.00100    
 136044              2                0.00100    
 136045              2                0.00100    
 136046              2                0.00100    
 136047              2                0.00100    
 136048              2                0.00100    
 136049              2                0.00100    
 136209              2                0.00050    
 136210              2                0.00100    
 136211              2                0.00100    
 136212              2                0.00100    
 136213              2                0.00100    
 136214              2                0.00100    
 136215              2                0.00100    
 136216              2                0.00100    
 136217              2                0.00100    
 136218              2                0.00100    
 136219              2                0.00100    
 136220              2                0.00100    
 136221              2                0.00100    
 136222              2                0.00100    
 136223              2                0.00100    
 136224              2                0.00100    
 136399              2                0.00100    
 136400              2                0.00100    
 136401              2                0.00100    
 136402              2                0.00100    
 136403              2                0.00100    
 136404              2                0.00100    
 136405              2                0.00100    
 136406              2                0.00100    
 136407              2                0.00100    
 136408              2                0.00100    
 136409              2                0.00100    
 136410              2                0.00100    
 136411              2                0.00100    
 136412              2                0.00100    
 136413              2                0.00100    
 136414              2                0.00100    
 136415              2                0.00100    
 136416              2                0.00100    
 136417              2                0.00100    
